iteration,cpu_fitness,gpu_fitness,ga_fitness
0,0.20253625397487834,0.20390262687821603,0.20253625397487834
1,0.19284816075487907,0.1891352063365008,0.18882824465867384
2,0.18635209463378605,0.18822204090275474,0.17800713880780872
3,0.1846662391016886,0.1870565509443049,0.16808037477309345
4,0.18088895758175402,0.1864445412910659,0.16198862432917274
5,0.1790108408210477,0.18348868654312067,0.1550996449413144
6,0.1785797961976107,0.1829449557254569,0.15042331427523908
7,0.17458457270127323,0.17568822381304658,0.14235690463196302
8,0.1730833013554538,0.17409908151868758,0.142166852631028
9,0.172113549022534,0.17188674005327137,0.13970098932063643
10,0.17164970923277906,0.1696559021608802,0.13804387352550523
11,0.1708547694675164,0.16603376631642086,0.13793915368217136
12,0.1708547694675164,0.16308188389352996,0.13728438263325243
13,0.1703334274717558,0.16308188389352996,0.13728438263325243
14,0.1701614690638174,0.16308188389352996,0.13687199734335212
15,0.16949863602824758,0.1628421747153251,0.1363827997148743
16,0.16852509241199756,0.16234613883514562,0.13632671249464742
17,0.16852509241199756,0.16190564826532655,0.13632671249464742
18,0.16852509241199756,0.16176572999387676,0.13632671249464742
19,0.16582281283189676,0.1591512011898406,0.13632671249464742
20,0.16545250630098407,0.15869592326522836,0.13565292275321614
21,0.16502077324034944,0.15786363125515926,0.13565292275321614
22,0.16343427809142075,0.157659517284868,0.13565292275321614
23,0.16340175412348776,0.1576576869095559,0.13561868835555366
24,0.1629886774926714,0.15361833392239807,0.13542787323747818
25,0.15822701708176704,0.15348395570394952,0.13542787323747818
26,0.15630730017550395,0.15288681937307466,0.13542787323747818
27,0.15464056635241258,0.15269328750228928,0.13501548794757784
28,0.15410000655179149,0.15214551962934203,0.13501548794757784
29,0.1533382109413675,0.1515619721804573,0.13494269174289425
30,0.1495897214997664,0.15067321027376385,0.13404659457960594
31,0.14900641045376578,0.14832483744782188,0.13404659457960594
32,0.1455622958424534,0.14787223913414152,0.13404659457960594
33,0.14536216707100805,0.14559989419525005,0.13404659457960594
34,0.1448571327655818,0.1441739420579547,0.13404659457960594
35,0.1428298222480838,0.1441739420579547,0.13404659457960594
36,0.1428298222480838,0.1438862975641912,0.13404659457960594
37,0.1424402818291409,0.14298529552192454,0.13399050735937906
38,0.14078978233297562,0.14105592817706453,0.13399050735937906
39,0.1404951337320016,0.1398524026261867,0.13399050735937906
40,0.14011172890552182,0.1383280799960719,0.13316066296089685
41,0.13929667020113726,0.1379807396172529,0.13316066296089685
42,0.13862067358847782,0.13778061084580764,0.13316066296089685
43,0.13856458636825095,0.1365402334944151,0.13316066296089685
44,0.13851697195066454,0.13648146570834824,0.13296342879024386
45,0.13825630172133316,0.13621315416481078,0.13296342879024386
46,0.1379455174216166,0.13621315416481078,0.13267557750957581
47,0.13773948816648768,0.1354853673999372,0.13267557750957581
48,0.13773948816648768,0.13538581897587185,0.1326372323775852
49,0.13773948816648768,0.13538581897587185,0.1326372323775852
50,0.1370857403944567,0.13538581897587185,0.1326372323775852
