n_sites,cpu_time,gpu_time,speedup,gpu_available
10,1.0400996208190918,0.05548882484436035,18.744307952753537,True
20,0.674593448638916,0.08026003837585449,8.405097509171656,True
30,0.6998319625854492,0.16402554512023926,4.266603485892615,True
40,0.7739639282226562,0.15284442901611328,5.063736592853266,True
50,0.8243870735168457,0.15621018409729004,5.277422072580141,True
