hour,citywide_kwh,is_coincident_peak
0,9.512004599317056e-12,False
1,1.71981077620664e-08,False
2,1.1439177482133758e-05,False
3,0.0027990744416166685,False
4,0.2519646515309425,False
5,8.343923313061573,False
6,101.64979536994554,False
7,455.5627769115858,False
8,751.0960404333488,False
9,455.56277691158635,False
10,101.6497953704045,False
11,8.343923481067174,False
12,0.2519953611325745,False
13,0.005602126858665463,False
14,0.12777142804753985,False
15,2.9078039610307673,False
16,33.04775687568064,False
17,187.5536249915612,False
18,531.5150275032418,False
19,752.1634795666512,True
20,531.5150275032418,False
21,187.5536249915612,False
22,33.04775687567112,False
23,2.9078039438326586,False
