cost,coverage_loss
0.5499482627509612,0.11759590899611938
0.19656223306820536,0.22976359411004543
0.2395555065044006,0.18845712321006935
0.19653133935157852,0.3645353710707574
0.4003346294610808,0.1268694259351174
0.26486915263327565,0.173196429291119
0.39204975290214483,0.12844417267068364
0.6443614055871449,0.10594180235804085
0.642384376319034,0.10877699770025795
0.32536282862048993,0.16150821227901657
0.32098399323552584,0.16919634304115194
0.6470716301868248,0.09938066756481223
0.2520412369953055,0.18343659075404384
