Version,demand_model,Fitness_Mean,Fitness_Std,Time_Mean_s,Demand_Total_kWh,N_Runs
V1 Uniform Demand,uniform,0.4253208071014125,0.009443094377291236,0.5914136886596679,1510.1152124958817,5
V2 Density-Based Demand,density,0.27035632508074,0.008321107407383302,0.5906675338745118,1511.6268757265195,5
V3 Dual-Peak Temporal Demand,temporal,0.13177332076231446,0.0012034113825958098,0.8858236789703369,756.9372334866582,5
